,school,conference,position,height
2767,UMKC,Western Athletic Conference,F,6-1
2768,UMKC,Western Athletic Conference,F,6-0
2769,UMKC,Western Athletic Conference,F,6-0
2770,UMKC,Western Athletic Conference,F,6-0
2771,UMKC,Western Athletic Conference,G,6-0
2772,UMKC,Western Athletic Conference,F,6-0
2773,UMKC,Western Athletic Conference,G,5-11
2774,UMKC,Western Athletic Conference,G,5-9
2775,UMKC,Western Athletic Conference,G,5-7
2776,UNC Asheville,Big South Conference,G,5-6
2777,UNC Asheville,Big South Conference,F,6-0
2778,UNC Asheville,Big South Conference,C,6-0
2779,UNC Asheville,Big South Conference,G,5-7
2780,UNC Asheville,Big South Conference,G,5-2
2781,UNC Asheville,Big South Conference,G,5-10
2782,UNC Asheville,Big South Conference,G,5-8
2783,UNC Asheville,Big South Conference,G,5-7
2784,UNC Asheville,Big South Conference,F,5-11
2785,UNC Asheville,Big South Conference,G,5-2
2786,UNC Asheville,Big South Conference,C,6-1
2787,UNC Asheville,Big South Conference,G,5-7
2788,UNC Asheville,Big South Conference,F,6-1
2789,UNC Asheville,Big South Conference,F,6-1
2790,UC Santa Barbara,Big West Conference,G,5-7
2791,UC Santa Barbara,Big West Conference,F,6-0
2792,UC Santa Barbara,Big West Conference,F,6-0
2793,UC Santa Barbara,Big West Conference,F,5-11
2794,UC Santa Barbara,Big West Conference,G,5-5
2795,UC Santa Barbara,Big West Conference,G,5-5
2796,UC Santa Barbara,Big West Conference,C,6-2
2797,UC Santa Barbara,Big West Conference,F,6-1
2798,UC Santa Barbara,Big West Conference,G,5-7
2799,UC Santa Barbara,Big West Conference,G,5-10
2800,UC Santa Barbara,Big West Conference,C,6-4
2801,UC Santa Barbara,Big West Conference,F,5-11
2802,UNC Greensboro,Southern Conference,F,6-1
2803,UNC Greensboro,Southern Conference,G,5-10
2804,UNC Greensboro,Southern Conference,G,5-6
2805,UNC Greensboro,Southern Conference,G,5-7
2806,UNC Greensboro,Southern Conference,G,5-9
2807,UNC Greensboro,Southern Conference,C,6-2
2808,UNC Greensboro,Southern Conference,G,5-9
2809,UNC Greensboro,Southern Conference,G,5-7
2810,UNC Greensboro,Southern Conference,G,5-9
2811,UNC Greensboro,Southern Conference,G,5-9
2812,UNC Greensboro,Southern Conference,F,5-11
2813,UNC Greensboro,Southern Conference,F,5-11
2814,UNC Greensboro,Southern Conference,C,6-3
2815,UNC Greensboro,Southern Conference,G,5-7
2816,UNC Greensboro,Southern Conference,C,6-2
2817,UC Riverside,Big West Conference,G,5-8
2818,UC Riverside,Big West Conference,G,5-8
2819,UC Riverside,Big West Conference,G,5-8
2820,UC Riverside,Big West Conference,G,5-6
2821,UC Riverside,Big West Conference,G,5-11
2822,UC Riverside,Big West Conference,G,5-6
2823,UC Riverside,Big West Conference,G,5-9
2824,UC Riverside,Big West Conference,F,5-10
2825,UC Riverside,Big West Conference,C,6-3
2826,UC Riverside,Big West Conference,F,6-1
2827,UC Riverside,Big West Conference,C,5-3
2828,UC Riverside,Big West Conference,F,6-1
2829,UC Riverside,Big West Conference,F,6-1
2830,UC Davis,Big West Conference,F,6-3
2831,UC Davis,Big West Conference,F,6-1
2832,UC Davis,Big West Conference,F,6-3
2833,UC Davis,Big West Conference,F,5-10
2834,UC Davis,Big West Conference,F,5-11
2835,UC Davis,Big West Conference,G,5-9
2836,UC Davis,Big West Conference,G,5-10
2837,UC Davis,Big West Conference,F,6-2
2838,UC Davis,Big West Conference,F,6-0
2839,UC Davis,Big West Conference,G,5-10
2840,UC Davis,Big West Conference,G,5-11
2841,UC Davis,Big West Conference,G,5-10
2842,UC Davis,Big West Conference,G,5-10
2843,UC Davis,Big West Conference,G,5-10
2844,UC Davis,Big West Conference,G,5-5
2845,UC Irvine,Big West Conference,G,5-5
2846,UC Irvine,Big West Conference,G,5-5
2847,UC Irvine,Big West Conference,F,5-10
2848,UC Irvine,Big West Conference,F,5-11
2849,UC Irvine,Big West Conference,F,5-11
2850,UC Irvine,Big West Conference,G,5-11
2851,UC Irvine,Big West Conference,F,6-0
2852,UC Irvine,Big West Conference,G,5-5
2853,UC Irvine,Big West Conference,,-
2854,UC Irvine,Big West Conference,F,6-0
2855,UC Irvine,Big West Conference,F,5-11
2856,UC Irvine,Big West Conference,F,5-9
2857,UC Irvine,Big West Conference,F,6-0
2858,UAB,Conference USA,F,6-1
2859,UAB,Conference USA,G,5-6
2860,UAB,Conference USA,G,5-3
2861,UAB,Conference USA,F,5-10
2862,UAB,Conference USA,G,5-6
2863,UAB,Conference USA,F,6-0
2864,UAB,Conference USA,G,5-7
2865,UAB,Conference USA,G,5-3
2866,UAB,Conference USA,G,5-8
2867,UAB,Conference USA,F,5-10
2868,UAB,Conference USA,G,5-8
2869,UAB,Conference USA,F,6-2
2870,UAB,Conference USA,F,6-1
2871,UAB,Conference USA,G,5-6
2872,UAB,Conference USA,F,6-0
2873,Yale University,The Ivy League,C,6-3
2874,Yale University,The Ivy League,F,6-2
2875,Yale University,The Ivy League,F,6-1
2876,Yale University,The Ivy League,G,5-9
2877,Yale University,The Ivy League,F,6-1
2878,Yale University,The Ivy League,G,5-10
2879,Yale University,The Ivy League,G,5-5
2880,Yale University,The Ivy League,G,5-8
2881,Yale University,The Ivy League,G,5-9
2882,Yale University,The Ivy League,G,6-0
2883,Yale University,The Ivy League,G,5-10
2884,Yale University,The Ivy League,F,6-1
2885,Yale University,The Ivy League,G,5-9
2886,Auburn University,Southeastern Conference,F,6-1
2887,Auburn University,Southeastern Conference,G,5-10
2888,Auburn University,Southeastern Conference,G,6-1
2889,Auburn University,Southeastern Conference,G,5-8
2890,Auburn University,Southeastern Conference,F,6-2
2891,Auburn University,Southeastern Conference,F,6-2
2892,Auburn University,Southeastern Conference,G,5-10
2893,Auburn University,Southeastern Conference,G,6-1
2894,Auburn University,Southeastern Conference,G,5-9
2895,Auburn University,Southeastern Conference,G,5-8
2896,Auburn University,Southeastern Conference,F,6-4
2897,Auburn University,Southeastern Conference,G,5-10
2898,Auburn University,Southeastern Conference,F,6-3
2899,Army,Patriot League,F,6-1
2900,Army,Patriot League,F,6-1
2901,Army,Patriot League,G,5-9
2902,Army,Patriot League,F,5-11
2903,Army,Patriot League,C,6-0
2904,Army,Patriot League,F,6-0
2905,Army,Patriot League,G,5-6
2906,Army,Patriot League,C,6-4
2907,Army,Patriot League,F,5-9
2908,Army,Patriot League,F,6-1
2909,Army,Patriot League,F,5-10
2910,Army,Patriot League,G,5-9
2911,Army,Patriot League,G,5-8
2912,Army,Patriot League,G,5-7
2913,Army,Patriot League,G,5-7
2914,Army,Patriot League,G,5-10
2915,Army,Patriot League,G,5-6
2916,Army,Patriot League,F,6-2
2917,Army,Patriot League,F,6-0
2918,Army,Patriot League,F,5-9
2919,Army,Patriot League,G,5-11
2920,Army,Patriot League,F,6-1
2921,Army,Patriot League,F,5-10
2922,"University of Arkansas, Little Rock",Sun Belt Conference,F,5-11
2923,"University of Arkansas, Little Rock",Sun Belt Conference,G,5-10
2924,"University of Arkansas, Little Rock",Sun Belt Conference,G,5-9
2925,"University of Arkansas, Little Rock",Sun Belt Conference,G,5-4
2926,"University of Arkansas, Little Rock",Sun Belt Conference,G,5-8
2927,"University of Arkansas, Little Rock",Sun Belt Conference,F,5-9
2928,"University of Arkansas, Little Rock",Sun Belt Conference,G,5-7
2929,"University of Arkansas, Little Rock",Sun Belt Conference,F,5-11
2930,"University of Arkansas, Little Rock",Sun Belt Conference,F,6-1
2931,"University of Arkansas, Little Rock",Sun Belt Conference,F,6-1
2932,"University of Arkansas, Little Rock",Sun Belt Conference,G,5-6
2933,"University of Arkansas, Little Rock",Sun Belt Conference,F,6-1
2934,Arkansas State University,Sun Belt Conference,F,6-2
2935,Arkansas State University,Sun Belt Conference,F,5-11
2936,Arkansas State University,Sun Belt Conference,G,5-10
2937,Arkansas State University,Sun Belt Conference,G,5-8
2938,Arkansas State University,Sun Belt Conference,G,5-9
2939,Arkansas State University,Sun Belt Conference,G,5-8
2940,Arkansas State University,Sun Belt Conference,G,5-8
2941,Arkansas State University,Sun Belt Conference,F,6-2
2942,Arkansas State University,Sun Belt Conference,G,5-10
2943,Arkansas State University,Sun Belt Conference,F,6-2
2944,Arkansas State University,Sun Belt Conference,G,5-6
2945,Arkansas State University,Sun Belt Conference,G,5-11
2946,Arkansas State University,Sun Belt Conference,G,5-8
2947,Arkansas State University,Sun Belt Conference,F,6-3
2948,Arkansas State University,Sun Belt Conference,G,5-10
2949,University of Arkansas,Southeastern Conference,G,5-9
2950,University of Arkansas,Southeastern Conference,F,6-1
2951,University of Arkansas,Southeastern Conference,G,5-10
2952,University of Arkansas,Southeastern Conference,G,5-10
2953,University of Arkansas,Southeastern Conference,G,5-9
2954,University of Arkansas,Southeastern Conference,F,6-1
2955,University of Arkansas,Southeastern Conference,G,5-9
2956,University of Arkansas,Southeastern Conference,F,6-3
2957,University of Arkansas,Southeastern Conference,F,6-4
2958,University of Arkansas,Southeastern Conference,F,6-2
2959,University of Arkansas,Southeastern Conference,F,6-0
2960,University of Arkansas-Pine Bluff,Southwestern Athletic Conf.,,-
2961,University of Arkansas-Pine Bluff,Southwestern Athletic Conf.,,-
2962,University of Arkansas-Pine Bluff,Southwestern Athletic Conf.,F,6-0
2963,University of Arkansas-Pine Bluff,Southwestern Athletic Conf.,C,5-11
2964,University of Arkansas-Pine Bluff,Southwestern Athletic Conf.,G,5-7
2965,University of Arkansas-Pine Bluff,Southwestern Athletic Conf.,,-
2966,University of Arkansas-Pine Bluff,Southwestern Athletic Conf.,G,5-4
2967,University of Arkansas-Pine Bluff,Southwestern Athletic Conf.,F,6-0
2968,University of Arkansas-Pine Bluff,Southwestern Athletic Conf.,G,5-7
2969,University of Arkansas-Pine Bluff,Southwestern Athletic Conf.,F,5-10
2970,University of Arkansas-Pine Bluff,Southwestern Athletic Conf.,,-
2971,University of Arkansas-Pine Bluff,Southwestern Athletic Conf.,,-
2972,University of Arkansas-Pine Bluff,Southwestern Athletic Conf.,,-
2973,University of Arkansas-Pine Bluff,Southwestern Athletic Conf.,C,6-3
2974,University of Arkansas-Pine Bluff,Southwestern Athletic Conf.,F,6-0
2975,University of Arkansas-Pine Bluff,Southwestern Athletic Conf.,G,5-10
2976,University of Arkansas-Pine Bluff,Southwestern Athletic Conf.,,-
2977,University of Arkansas-Pine Bluff,Southwestern Athletic Conf.,F,6-1
2978,University of Arkansas-Pine Bluff,Southwestern Athletic Conf.,G,5-6
2979,Arizona State University,Pac-12 Conference,G,5-7
2980,Arizona State University,Pac-12 Conference,G,5-8
2981,Arizona State University,Pac-12 Conference,F,6-1
2982,Arizona State University,Pac-12 Conference,G,5-3
2983,Arizona State University,Pac-12 Conference,C,6-4
2984,Arizona State University,Pac-12 Conference,C,6-4
2985,Arizona State University,Pac-12 Conference,G,5-10
2986,Arizona State University,Pac-12 Conference,G,5-9
2987,Arizona State University,Pac-12 Conference,G,6-1
2988,Arizona State University,Pac-12 Conference,G,5-8
2989,Arizona State University,Pac-12 Conference,F,6-0
2990,Arizona State University,Pac-12 Conference,G,6-0
2991,Arizona State University,Pac-12 Conference,G,5-11
2992,Appalachian State University,Southern Conference,F,6-2
2993,Appalachian State University,Southern Conference,G,6-0
2994,Appalachian State University,Southern Conference,C,6-2
2995,Appalachian State University,Southern Conference,G,5-10
2996,Appalachian State University,Southern Conference,F,5-11
2997,Appalachian State University,Southern Conference,G,5-10
2998,Appalachian State University,Southern Conference,G,5-7
2999,Appalachian State University,Southern Conference,G,5-10
3000,Appalachian State University,Southern Conference,G,5-6
3001,Appalachian State University,Southern Conference,G,5-9
3002,Appalachian State University,Southern Conference,C,6-2
3003,Appalachian State University,Southern Conference,G,5-6
3004,Appalachian State University,Southern Conference,G,5-10
3005,Appalachian State University,Southern Conference,F,6-1
3006,Appalachian State University,Southern Conference,G,5-8
3007,University of Arizona,Pac-12 Conference,G,6-0
3008,University of Arizona,Pac-12 Conference,G,6-0
3009,University of Arizona,Pac-12 Conference,G,5-9
3010,University of Arizona,Pac-12 Conference,G,5-10
3011,University of Arizona,Pac-12 Conference,G,5-11
3012,University of Arizona,Pac-12 Conference,F,6-1
3013,University of Arizona,Pac-12 Conference,G,5-7
3014,University of Arizona,Pac-12 Conference,G,5-8
3015,University of Arizona,Pac-12 Conference,G,5-9
3016,University of Arizona,Pac-12 Conference,F,6-1
3017,University of Arizona,Pac-12 Conference,F,6-1
3018,University of Arizona,Pac-12 Conference,G,5-5
3019,University of Arizona,Pac-12 Conference,G,5-6
3020,University of Arizona,Pac-12 Conference,F,6-1
3021,American University,Patriot League,G,5-9
3022,American University,Patriot League,G,5-7
3023,American University,Patriot League,F,6-2
3024,American University,Patriot League,G,5-9
3025,American University,Patriot League,G,5-10
3026,American University,Patriot League,F,6-1
3027,American University,Patriot League,G,5-5
3028,American University,Patriot League,F,6-1
3029,American University,Patriot League,G,5-8
3030,American University,Patriot League,G,5-7
3031,American University,Patriot League,G,6-0
3032,American University,Patriot League,F,6-0
3033,Alcorn State University,Southwestern Athletic Conf.,F,6-3
3034,Alcorn State University,Southwestern Athletic Conf.,G,5-8
3035,Alcorn State University,Southwestern Athletic Conf.,G,-
3036,Alcorn State University,Southwestern Athletic Conf.,C,6-3
3037,Alcorn State University,Southwestern Athletic Conf.,G,5-5
3038,Alcorn State University,Southwestern Athletic Conf.,G,5-8
3039,Alcorn State University,Southwestern Athletic Conf.,,-
3040,Alcorn State University,Southwestern Athletic Conf.,G,5-8
3041,Alcorn State University,Southwestern Athletic Conf.,F,-
3042,Alcorn State University,Southwestern Athletic Conf.,F,6-4
3043,Alcorn State University,Southwestern Athletic Conf.,G,5-10
